index,City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
515,DODGE CITY,KS,67801,"GREAT PLAINS DEVELOPMENT, INC.",KS,441110,32,1,0,32,0,0,N,N,188000,0,188000,188000,0
516,ANTIOCH,IL,60002,ASSOCIATED BANK NATL ASSOC,WI,0,8,2,0,0,19755,0,N,N,75000,0,75000,67500,0
517,GOLDEN,CO,80403,JPMORGAN CHASE BANK NATL ASSOC,IL,453910,1,1,1,1,1,1,Y,N,44345,0,25000,12500,0
518,Battle Creek,MI,49017,"PNC BANK, NATIONAL ASSOCIATION",DE,238110,9,1,0,9,0,1,N,N,125000,0,125000,62500,0
519,NORRIS CITY,IL,62869,BANTERRA BANK,IL,0,10,1,0,0,1,0,N,N,445000,0,445000,333750,0
520,ALLSTON,MA,2134,BANK OF AMERICA NATL ASSOC,MA,532230,2,1,0,0,1,0,,Y,50000,0,50000,45000,0
521,MEMPHIS,TN,38127,"SUPERIOR FINANCIAL GROUP, LLC",CA,624410,1,1,1,1,0,1,N,N,5000,0,5000,4250,1
522,ARVADA,CO,80002,CAPITAL ONE NATL ASSOC,VA,448210,3,1,0,3,0,1,N,N,15000,0,15000,7500,1
523,Mount olive,MS,39119,FIRST FINANCIAL BANK,AR,112320,3,1,0,3,0,2,N,N,15400,0,15400,13090,0
524,DAVENPORT,IA,52804,NORTHWEST BANK & TRUST COMPANY,IA,0,20,1,0,0,1,0,N,N,125000,0,125000,112500,0
525,SIOUX FALLS,SD,57101,U.S. BANK NATIONAL ASSOCIATION,OH,0,4,1,0,0,1,0,N,N,77800,0,77800,70020,0
526,BLOWING ROCK,NC,28605,BRANCH BK. & TR CO,NC,448310,2,1,0,0,1,0,N,Y,48500,0,48500,43650,0
527,SOUTH EDMESTON,NY,13411,KEYBANK NATIONAL ASSOCIATION,OH,311513,1,2,40,1,1,1,0,N,300000,0,300000,225000,0
528,MINNEAPOLIS,MN,55419,WELLS FARGO BANK NATL ASSOC,MN,0,6,1,0,0,1,0,N,N,33895,0,33895,25421,0
529,MARKLEE,IN,46770,IAB FINANCIAL BANK,IN,523110,4,2,2,2,1,1,0,N,579000,0,579000,434250,0
530,CINCINNATI,OH,45245,HAMILTON CNTY DEVEL COMPANY IN,OH,621210,7,1,0,7,1,2,N,N,116000,0,117000,117000,0
531,READING,PA,19605,NATIONAL PENN BANK,PA,0,2,2,0,0,1,0,N,N,102000,0,102000,81600,0
532,North Vernon,IN,47265,"PNC BANK, NATIONAL ASSOCIATION",OH,812112,2,2,2,2,0,1,N,N,10000,0,10000,5000,0
533,ABILENE,TX,79602,FIRST FINAN BANK NATL ASSOC,TX,323110,6,1,0,0,1,1,0,Y,75000,0,75000,63750,0
534,MINNEOLA,KS,67865,SUNFLOWER BANK NATL ASSOC,KS,713990,2,1,0,0,1,2,N,N,58800,0,58800,44100,0
535,NEWPORT BEACH,CA,92660,SOUTHLAND ECONOMIC DEVEL CORP,CA,0,40,1,1,40,1,1,N,N,750000,0,750000,750000,0
536,DEQUEEN,AR,71832,SOUTHERN BANCORP BANK,AR,333512,10,1,0,0,1,0,N,N,200000,0,200000,165400,0
537,Southboro (rr name for southbo,MA,1772,BOSTON PRIVATE BK & TR CO,MA,541612,11,1,0,11,0,1,Y,N,343767,0,225000,112500,0
538,MALDEN,MA,2148,AURORA BANK FSB,CO,233210,8,1,0,0,1,0,N,N,150000,0,150000,135000,0
539,SHELBYVILLE,TN,37160,CAPITAL ONE NATL ASSOC,VA,488190,3,2,2,3,0,2,N,N,50000,0,50000,25000,0
540,BESSEMER,AL,35023,SOUTHERN DEVELOPMENT COUNCIL,AL,0,12,2,12,0,1,0,N,N,309000,0,309000,309000,0
541,WILLIAMS,CA,95987,BANK OF AMERICA NATL ASSOC,NC,812112,6,1,0,6,1,1,Y,N,20000,0,20000,10000,0
542,CAPE CANAVERAL,FL,32920,BANK OF AMERICA NATL ASSOC,NC,812113,3,1,0,3,1,2,Y,N,10000,0,10000,5000,1
543,ROCHESTER,NY,14626,MANUFACTURERS & TRADERS TR CO,NY,448120,25,1,0,0,1,0,N,N,260000,0,260000,195000,0
544,ALTOONA,PA,16602,MANUFACTURERS & TRADERS TR CO,NY,441120,1,2,0,0,1,1,Y,N,14731,0,10000,5000,0
545,APPLE VALLEY,MN,55124,BANK OF THE WEST,CA,451110,3,1,0,0,34845,1,N,N,142500,0,142500,121125,0
546,HOUSTON,TX,77077,BANK OF AMERICA NATL ASSOC,NC,811113,4,1,1,1,1,1,Y,N,50000,0,50000,25000,0
547,MEDINA,NY,14103,BANK OF AKRON,NY,621310,1,1,0,0,1,2,0,Y,98000,0,98000,78400,0
548,ESCONDIDO,CA,92029,CDC SMALL BUS. FINAN CORP,CA,0,8,1,3,8,1,0,N,N,183000,0,183000,183000,0
549,FESTUS,MO,63028,BANK OF AMERICA NATL ASSOC,NC,621210,2,1,0,0,1,0,N,N,27400,0,27400,24660,0
550,HOUSTON,TX,77070,BANCO POPULAR NORTH AMERICA,NY,811490,12,1,0,12,1,1,Y,N,61885,0,25000,12500,0
551,PASADENA,MD,21122,THE COLUMBIA BANK,MD,111421,6,1,4,2,1,2,0,N,150000,0,150000,112500,0
552,FT COLLINS,CO,80520,JPMORGAN CHASE BANK NATL ASSOC,IL,0,6,1,0,0,1,0,N,Y,78000,0,78000,63180,0
553,PHOENIX,AZ,85017,WELLS FARGO BANK NATL ASSOC,SD,322299,4,2,0,4,1,1,Y,N,38909,0,20000,10000,1
554,BETHEL,ME,4217,NORTHEAST BANK,ME,541940,1,1,0,0,1,0,N,Y,20045,0,20045,18041,0
555,BEMIDJI,MN,56601,BANK FORWARD,ND,445210,4,2,0,4,0,2,N,,7200,0,7200,5400,0
556,DENVER,CO,80205,U.S. BANK NATIONAL ASSOCIATION,OH,321999,15,2,15,0,1,1,0,N,249000,0,249000,186750,0
557,RIO GRANDE CITY,TX,78582,JPMORGAN CHASE BANK NATL ASSOC,IL,233110,4,1,4,4,1,2,Y,N,50117,0,50000,25000,1
558,CLINTON,MS,39056,COMMUNITY BANK OF MISSISSIPPI,MS,236118,1,2,1,0,1,2,0,N,12400,0,122200,103870,0
559,TAMPA,FL,33626,BANK OF AMERICA NATL ASSOC,NC,561310,1,1,0,1,1,1,Y,N,10000,0,10000,5000,0
560,SAN BRUNO,CA,94066,CALIFORNIA BANK & TRUST,CA,722110,15,1,15,15,1,1,0,N,30000,0,50000,42500,0
561,SITKA,AK,99835,FIRST NATIONAL BANK ALASKA,AK,114111,4,2,0,0,1,0,N,N,431000,0,431000,366350,0
562,New Castle,PA,16150,"PNC BANK, NATIONAL ASSOCIATION",DE,722211,8,1,0,0,1,1,N,N,150000,0,150000,75000,0
563,SPOKANE,WA,99202,WELLS FARGO BANK NATL ASSOC,SD,443120,14,1,0,0,1,1,N,N,650000,0,650000,487500,0
564,COLLEGE POINT,NY,11356,BANK OF AMERICA NATL ASSOC,RI,484110,2,1,0,2,1,1,Y,N,29385,0,25000,12500,0
565,COMMERCE,GA,30529,REGIONS BANK,GA,0,26,1,0,0,61898,0,N,N,80000,0,80000,68000,0
566,HENDERSONVILLE,TN,37075,BANK OF AMERICA NATL ASSOC,NC,236220,2,2,0,2,0,1,Y,N,10000,0,10000,5000,0
567,Encinitas,CA,92024,UMPQUA BANK,OR,315212,1,2,1,1,0,1,N,N,25000,0,25000,21250,1
568,SAN ANTONIO,TX,78230,TEXAS CERT. DEVEL COMPANY INC.,TX,531210,90,1,15,90,15710,1,0,N,641000,0,641000,641000,0
569,MADISON,WI,53703,ASSOCIATED BANK NATL ASSOC,WI,0,79,1,0,0,1,0,N,N,375000,0,375000,318750,0
570,CLOVIS,CA,93612,CEN CAL BUSINESS FINANCE GROUP,CA,235110,23,1,6,0,1,0,N,N,156000,0,157000,157000,0
571,RIDGEWAY,IA,52165,C US BANK,IA,0,2,2,0,0,1,0,N,N,161000,0,161000,136850,0
572,Rochester,NY,14606,MANUFACTURERS & TRADERS TR CO,NY,333298,10,1,0,0,0,1,N,N,250000,0,250000,187500,0
573,DESTIN,FL,32541,CADENCE BANK NATL ASSOC,FL,713930,2,1,0,0,1,0,0,Y,100000,0,100000,80000,0
574,TREMONTON,UT,84337,ZIONS FIRST NATIONAL BANK,UT,238910,1,1,0,1,0,1,Y,N,26800,0,20000,10000,0
575,CHESAPEAKE,VA,23320,BRANCH BK. & TR CO,VA,235310,26,1,0,0,1,0,N,N,148000,0,148000,124000,0
576,SANTA BARBARA,CA,93108,COMMUNITY W. BANK NATL ASSOC,CA,561510,12,1,0,0,1,0,N,Y,65000,0,65000,52000,0
577,NORTH DARTMOUTH,MA,2747,BANK OF AMERICA NATL ASSOC,NC,621111,6,1,0,6,0,1,Y,N,41207,0,20000,10000,0
578,FLORAL PARK,NY,11001,BANK OF AMERICA NATL ASSOC,NC,541613,2,1,0,2,0,1,Y,N,77502,0,35000,17500,1
579,MANHATTAN,KS,66502,KANSAS STATE BANK OF MANHATTAN,KS,812112,3,2,0,0,1,2,N,N,48000,0,48000,40800,0
580,SEBRING,OH,44672,CAPITAL ONE NATL ASSOC,VA,722211,8,1,0,8,1,2,0,N,25000,0,25000,12500,1
581,NEW ORLEANS,LA,79115,GULF COAST BK & TR CO,LA,722110,7,1,6,1,1,0,0,N,50000,0,50000,42500,0
582,QUINCY,MA,2169,BANK OF AMERICA NATL ASSOC,NC,238990,10,1,2,10,1,1,0,N,162000,0,162000,81000,0
583,YUBA CITY,CA,95991,SBA - EDF ENFORCEMENT ACTION,CO,0,12,1,10,2,0,0,N,N,106000,0,106000,106000,0
584,SANTA FE SPRINGS,CA,90670,ADVANTAGE CERT. DEVEL CORP,CA,327320,39,1,13,0,1,1,N,N,453000,0,453000,453000,0
585,AUSTIN,TX,78704,BANK OF AMERICA NATL ASSOC,NC,561710,200,1,0,200,1,1,Y,N,150000,0,150000,75000,0
586,SAN JOSE,CA,95112,CITIBANK INTERNATIONAL,CA,0,6,1,0,0,1,0,0,N,100000,0,100000,70000,0
587,OXFORD,GA,30054,BRANCH BK. & TR CO,GA,722110,6,1,6,12,1,1,0,N,290000,0,290000,217500,0
588,SOUTHLAKE,TX,76092,JPMORGAN CHASE BANK NATL ASSOC,IL,524210,1,1,0,1,1,2,Y,N,138152,0,37000,18500,0
589,SOUTH SAN FRANCISCO,CA,94080,MORTGAGE CAP. DEVEL CORP,CA,722320,10,1,2,10,1,1,N,N,480000,0,547000,547000,0
590,BROWNSVILLE,TX,78521,JPMORGAN CHASE BANK NATL ASSOC,IL,0,6,1,0,0,1,0,N,N,27000,0,27000,24300,0
591,BRIDGEPORT,PA,19405,WELLS FARGO BANK NATL ASSOC,PA,0,39,1,0,0,1,0,0,N,250000,0,250000,187500,0
592,SPRINGFIELD,IL,62703,BANK OF SPRINGFIELD,IL,233210,4,1,0,0,1,0,N,N,79000,0,79000,63200,0
593,EUGENE,OR,97404,U.S. BANK NATIONAL ASSOCIATION,OH,722110,10,1,0,10,0,1,Y,N,27004,0,21000,10500,0
594,Honolulu,HI,96814,"BUSINESS LOAN CENTER, LLC",FL,812910,1,2,0,1,0,1,N,N,10000,0,10000,8500,0
595,BEDFORD,IN,47421,JPMORGAN CHASE BANK NATL ASSOC,IL,812990,1,1,1,0,0,1,Y,N,25300,0,25000,12500,0
596,SACRAMENTO,CA,95819,GREATER SACRAMENTO CERT. DEVEL,CA,541810,12,1,5,0,1,1,N,N,208000,0,217000,217000,0
597,ALEXANDRIA,SD,57311,FIRST DISTRICT DEVEL CO,SD,333111,10,1,3,0,1,2,0,N,175000,0,175000,175000,0
598,CAPE CORAL,FL,33904,BANK OF AMERICA NATL ASSOC,NC,812310,5,2,0,5,1,1,0,N,12200,0,12200,6100,0
599,Miamisburg,OH,45342,THE HUNTINGTON NATIONAL BANK,OH,453998,0,1,0,0,0,2,Y,N,61300,0,25000,12500,1
600,DULUTH,MN,55733,PARK STATE BANK,MN,0,2,1,0,0,1,0,N,Y,100000,0,100000,80000,0
601,DELRAY BEACH,FL,33483,BANK OF AMERICA NATL ASSOC,NC,454390,3,1,4,3,0,1,N,N,25000,0,25000,12500,0
602,BROOKLYN PARK,MN,55428,TWIN CITIES-METRO CERT. DEVEL,MN,0,45,1,15,30,1,0,N,N,476000,0,476000,476000,0
603,TROY,MO,63379,U.S. BANK NATIONAL ASSOCIATION,OH,532111,2,2,0,0,69560,0,N,N,48000,0,48000,38400,0
604,WARRENVILLE,IL,60555,SMALL BUS. GROWTH CORP,IL,541211,13,1,5,0,1,1,N,N,812000,0,812000,812000,0
605,BUFORD,GA,30518,BANK OF NO. GEORGIA A DIVISION,GA,332813,8,1,0,0,1,0,0,N,51300,0,51300,41040,0
606,SAN DIEGO,CA,92130,BANK OF AMERICA NATL ASSOC,NC,423610,2,1,2,2,1,1,Y,N,25000,0,25000,12500,0
607,DECATUR,GA,30035,SUNTRUST BANK,GA,334413,5,1,0,5,0,1,Y,N,750000,0,750000,675000,0
608,GEDDES,SD,57342,COMM. ST. BK OF WAGNER,SD,454312,1,1,0,0,1,0,N,Y,87500,0,87500,70000,0
609,WHITE BEAR LAKE,MN,55110,CAPITAL ONE NATL ASSOC,VA,451110,3,1,0,3,1,1,0,N,35000,0,35000,17500,0
610,MINNEAPOLIS,MN,55407,U.S. BANK NATIONAL ASSOCIATION,OH,443112,7,2,0,7,0,1,Y,N,40309,0,25000,12500,0
611,AUSTIN,TX,78728,JPMORGAN CHASE BANK NATL ASSOC,IL,811121,4,1,0,4,1,2,Y,N,73600,0,25000,12500,0
612,BERKELEY,CA,94703,WELLS FARGO BANK NATL ASSOC,SD,541611,1,1,1,2,1,1,Y,N,40170,0,40000,20000,1
613,GRAND RAPIDS,MI,49508,"PNC BANK, NATIONAL ASSOCIATION",DE,484121,10,2,2,10,0,1,N,N,40000,0,40000,20000,0
614,ENGLEWOOD,CO,80112,GUARANTY BK & TR CO,CO,0,8,1,0,0,1,1,N,N,336000,0,336000,252000,0
615,LONG LAKE,MN,55356,KLEINBANK,MN,235930,12,1,0,0,1,0,N,Y,50000,0,50000,45000,0
616,HOMER,AK,99603,FIRST NATIONAL BANK ALASKA,AK,0,14,1,0,0,0,0,N,N,550000,0,550000,440000,0
617,LEHIGH ACRES,FL,33971,BANK OF AMERICA NATL ASSOC,NC,424460,2,1,7,2,0,1,T,N,17043,0,12000,6000,1
618,SANTA ANA,CA,92702,SOUTHLAND ECONOMIC DEVEL CORP,CA,0,18,1,10,8,0,0,N,N,83000,0,83000,83000,0
619,North Huntington,PA,15642,"PNC BANK, NATIONAL ASSOCIATION",PA,332710,2,2,0,0,0,2,Y,N,165000,0,100000,50000,0
620,MINNEAPOLIS,MN,55426,U.S. BANK NATIONAL ASSOCIATION,OH,541810,3,1,0,3,0,1,Y,N,78984,0,20000,10000,0
621,RICHMOND,VA,23228,"WACHOVIA BANK, A DIVISION OF",VA,0,8,2,0,0,1,0,N,Y,70000,0,100000,80000,0
622,BARRINGTON,IL,60010,SMALL BUS. GROWTH CORP,IL,811192,25,2,25,0,1,1,N,N,535000,0,535000,535000,0
623,KIRKLAND,WA,98033,U.S. BANK NATIONAL ASSOCIATION,OH,0,5,1,0,0,1,0,N,N,266500,0,266500,220396,0
624,STERLING HEIGHTS,MI,48310,CITIZENS BANK NATL ASSOC,RI,561730,2,1,1,3,1,1,N,N,60000,0,60000,30000,1
625,LOS ANGELES,CA,90028,BANK OF AMERICA NATL ASSOC,NC,445299,4,1,1,4,0,1,N,N,75000,0,50000,25000,1
626,WEST GREENWICH,RI,2891,OCEAN ST. BUS. DEVEL AUTHORITY,RI,621310,8,1,2,6,1,2,N,N,248000,0,248000,248000,0
627,VERMILION,OH,44089,"FIRSTMERIT BANK, N.A.",OH,713930,3,1,0,0,1,0,N,N,54499,0,55000,49500,0
628,WEST CHESTER,PA,19380,CITIZENS BANK NATL ASSOC,RI,421490,5,2,1,6,0,1,N,N,24627,0,25000,12500,1
629,SURPRISE,AZ,85374,JPMORGAN CHASE BANK NATL ASSOC,IL,812990,6,2,0,6,0,1,N,N,30500,0,30500,15250,0
630,EAST CONCORD,NY,14055,EVANS BANK NATL ASSOC,NY,0,1,2,0,0,1,1,0,Y,59000,0,59000,47200,0
631,HOUGHTON LAKE,MI,48629,CHEMICAL BANK,MI,444130,2,1,0,0,1,0,N,Y,22000,0,22000,17600,0
632,MIAMI,FL,33133,"CITIBANK, N.A.",SD,423990,3,1,0,3,1,1,Y,N,136512,0,100000,50000,0
633,BERNICE,LA,71222,JPMORGAN CHASE BANK NATL ASSOC,IL,112320,3,2,0,0,1,0,N,N,488595,0,488595,415306,0
634,FAIR LAWN,NJ,7410,HSBC BK USA NATL ASSOC,VA,484121,4,1,2,6,1,1,0,N,50000,0,50000,25000,0
635,DEVILS LAKE,ND,58301,CITIZENS COMMUNITY CU,ND,721110,2,1,0,2,0,2,N,N,35000,0,35000,35000,0
636,SOUTH GATE,CA,90280,HANMI BANK,CA,0,6,1,6,6,1,0,0,N,1445000,0,1445000,749955,0
637,COTTLEVILLE,MO,63301,ST. CHARLES CNTY ECONOMIC DEVE,MO,0,3,1,3,3,1,2,N,N,112000,0,112000,112000,0
638,BURLINGTON (TOWN OF),MA,1803,CITIZENS BANK NATL ASSOC,MA,518210,1,1,4,5,1,1,Y,N,130100,0,75000,37500,0
639,EVERETT,WA,98208,ALASKA SOUTHERN PARTNERS,AK,0,15,1,0,0,0,0,N,N,460000,0,460000,414000,1
640,DES MOINES,IA,50304,IOWA STATE BANK,IA,0,3,2,0,0,1,0,,Y,2025,0,100000,90000,0
641,PHOENIX,AZ,85018,BANK OF AMERICA NATL ASSOC,NC,813920,17,1,0,0,1,1,Y,N,39414,0,36000,18000,0
642,CUMBERLAND,MD,21502,MANUFACTURERS & TRADERS TR CO,NY,451140,3,2,0,0,1,1,Y,N,20000,0,20000,10000,0
643,TAMPA,FL,33612,POPULAR COMMUN BANK A DIVISION,FL,624410,17,1,0,0,1,1,N,N,630000,0,630000,472500,0
644,COLUMBUS,OH,43232,UNITED MIDWEST SAVINGS BANK,OH,721110,15,2,15,0,36680,1,0,N,1000000,0,1000000,750000,0
645,MAUMEE,OH,43537,THE HUNTINGTON NATIONAL BANK,OH,0,1,1,0,0,1,0,N,Y,50000,0,50000,40000,0
646,Moscow,OH,45153,"PNC BANK, NATIONAL ASSOCIATION",DE,238290,1,1,3,1,0,2,T,N,37711,0,10000,5000,1
647,Rockford,IL,61107,ASSOCIATED BANK NATL ASSOC,WI,238990,1,1,1,1,0,1,Y,N,99379,0,50000,25000,1
648,MOSS POINT,MS,39563,CITIZENS BANK,TN,0,20,1,0,0,1,0,N,N,120000,0,120000,108000,0
649,San Rafael,CA,94901,WELLS FARGO BANK NATL ASSOC,SD,541490,3,2,11,3,0,1,N,N,260000,0,260000,195000,0
650,HOUSTON,TX,77061,JPMORGAN CHASE BANK NATL ASSOC,IL,0,5,1,0,0,1,0,N,Y,40000,0,40000,36000,0
651,OAKLAND,FL,34760,BANK OF AMERICA NATL ASSOC,NC,611710,10,1,0,10,0,2,Y,N,29500,0,20000,10000,1
652,SIOUX FALLS,SD,57106,U.S. BANK NATIONAL ASSOCIATION,OH,237110,2,1,0,2,0,1,Y,N,185849,0,50000,25000,0
653,ISSAQUAH,WA,98027,KITSAP BANK,WA,621310,5,1,3,5,1,1,0,N,137000,0,137000,116450,0
654,SAN FRANCISCO,CA,94114,WELLS FARGO BANK NATL ASSOC,SD,0,10,1,0,0,1,0,N,N,175000,0,175000,148750,0
655,POOLER,GA,31322,AMERIS BANK,GA,722320,9,1,0,0,1,2,0,Y,97000,0,97000,82450,0
656,Decatur,IL,62526,"PNC BANK, NATIONAL ASSOCIATION",DE,541410,0,1,1,0,1,1,Y,N,45825,0,20000,10000,0
657,PHOENIX,AZ,85019,U.S. BANK NATIONAL ASSOCIATION,OH,811111,18,1,5,13,1,1,0,N,700000,0,700000,525000,0
658,LITITZ,PA,17543,SOUTH EASTERN ECONOMIC DEVEL C,PA,0,9,1,18,0,1,0,N,N,268000,0,268000,268000,0
659,OAKLEY,ID,83346,D. L. EVANS BANK,ID,451130,3,1,0,3,1,2,0,N,81000,0,81000,68850,0
660,KATY,TX,77450,WELLS FARGO BANK NATL ASSOC,SD,0,68,1,0,0,42530,0,N,N,516000,0,540000,378000,0
661,Milford (census name for milfo,NH,3055,FIRST COLEBROOK BANK,NH,541990,18,1,2,18,0,1,N,N,30000,0,30000,25500,0
662,WEST HOLLYWOOD,FL,33326,BANK OF AMERICA NATL ASSOC,NC,531311,3,1,0,3,1,1,Y,N,25000,0,25000,12500,0
663,SAINT JOHNSBURY,VT,5819,PASSUMPSIC SAVINGS BANK,VT,315299,34,2,0,34,0,2,Y,R,60000,0,60000,51000,1
664,ALTOONA,PA,16602,FIRST COMMONWEALTH BANK,PA,235990,8,1,1,8,1,1,0,N,125000,0,125000,62500,0
665,RED WING,MN,55066,SOUTHEASTERN MINNESOTA 504 DEV,MN,112210,5,1,0,5,1,0,N,N,263000,0,263000,263000,0
666,MYSTIC,CT,6378,WASHINGTON TR CO OF WESTERLY,RI,448150,2,1,0,2,1,1,Y,N,70033,0,50000,25000,0
667,FLORISSANT,MO,63105,BUSINESS FINAN CORP OF ST. LOU,MO,0,13,1,3,10,0,0,N,N,181000,0,181000,181000,0
668,EXTON,PA,19341,BANK OF AMERICA NATL ASSOC,NC,541330,10,1,0,10,1,2,Y,N,155000,0,150000,75000,0
669,GRAFTON,OH,44044,"PNC BANK, NATIONAL ASSOCIATION",OH,421690,4,1,0,0,1,2,0,Y,125000,0,125000,106250,0
670,NEW YORK,NY,10014,FLUSHING BANK,NY,713940,3,1,0,3,1,1,Y,N,30111,0,25000,12500,0
671,EAST LONGMEADOW (TOWN OF),MA,1028,CAPITAL ONE NATL ASSOC,VA,561320,1,1,0,1,1,1,0,N,25000,0,25000,12500,0
672,WICHITA,KS,67207,BANK OF AMERICA NATL ASSOC,NC,333515,2,2,2,2,1,1,0,N,54500,0,54500,27250,0
673,CHAMBLEE,GA,30341,BANK OF AMERICA NATL ASSOC,NC,0,60,1,0,0,0,0,N,N,575000,0,575000,488750,1
674,OAKLAND,CA,94603,INNOVATIVE BANK,CA,0,15,1,0,0,1,0,N,N,125000,0,125000,112500,0
675,DEER LODGE,MT,59722,MOUNTAIN W. BANK NATL ASSOC,MT,0,3,2,0,0,1,2,N,Y,66000,0,66000,52800,0
676,LEMONT,IL,60439,JPMORGAN CHASE BANK NATL ASSOC,IL,524210,1,1,0,1,0,1,N,N,25300,0,25300,12650,1
677,HERNDON,VA,22170,UNITED BANK,VA,0,3,1,0,0,1,0,N,N,278000,0,278000,208500,0
678,WESTFORD,MA,1886,BANK OF AMERICA NATL ASSOC,RI,811111,2,1,0,0,1,0,N,N,10000,0,10000,8000,0
679,ROSEMEAD,CA,91770,EAST WEST BANK,CA,621111,4,1,0,4,1,1,Y,N,250000,0,250000,125000,0
680,SYRACUSE,NY,13208,MANUFACTURERS & TRADERS TR CO,NY,235310,28,1,0,0,1,0,N,N,26050,0,26050,22143,0
681,MENTOR,OH,44060,MENTOR ECONOMIC ASSISTANCE COR,OH,327212,13,1,8,13,1,1,N,N,319000,0,320000,320000,0
682,MERIDIAN,ID,93612,WELLS FARGO BANK NATL ASSOC,SD,0,1,2,0,0,1,0,N,Y,65000,0,65000,58500,0
683,PORT CHESTER,NY,10573,HSBC BK USA NATL ASSOC,NY,445120,6,1,1,6,0,1,Y,N,102336,0,50000,25000,0
684,DENVER,CO,80239,U.S. BANK NATIONAL ASSOCIATION,CO,0,2,2,0,0,42600,0,N,Y,13720,0,13720,10976,0
685,ST. ANN,MO,63130,BANK OF AMERICA NATL ASSOC,NC,484110,1,1,1,1,1,1,0,N,36265,0,50000,25000,0
686,UNIONTOWN,OH,44685,KEYBANK NATIONAL ASSOCIATION,OH,0,30,1,0,0,1,0,N,N,220000,0,220000,187000,0
687,SALT LAKE CITY,UT,84119,ZIONS FIRST NATIONAL BANK,UT,323114,5,1,0,5,1,1,0,N,15000,0,15000,7500,0
688,Dearborn,MI,48124,BANK - AMERICA NATL ASSOC,MI,621610,1,2,4,1,0,1,Y,N,65000,0,50000,25000,0
689,AIEA,HI,96701,BANK OF HAWAII,HI,0,12,1,0,0,1,0,,Y,100000,0,100000,90000,0
690,Upper Marlboro (Marlboro),MD,20772,WELLS FARGO BANK NATL ASSOC,SD,0,10,1,0,0,1,0,0,N,25000,0,25000,12500,0
691,COLLEGE STATION,TX,77840,"CITIBANK, N.A.",TX,0,20,2,0,0,1,0,N,Y,98868,0,98868,79094,0
692,DALLAS,TX,75244,COMPASS BANK,AL,0,38,1,6,38,1,1,0,N,490000,0,490000,367500,1
693,ALBION,RI,2919,BANK OF AMERICA NATL ASSOC,RI,233210,3,1,0,3,1,1,Y,N,75104,0,50000,25000,0
694,NATIONAL CITY,CA,91950,PACIFIC WESTERN BANK,CA,0,6,1,0,0,1,0,N,N,47000,0,47000,42300,0
695,PHOENIX,AZ,85040,WELLS FARGO BANK NATL ASSOC,SD,446110,15,1,2,17,1,1,Y,N,176832,0,100000,50000,0
696,TREMONTON,UT,84337,ZIONS FIRST NATIONAL BANK,UT,421140,8,1,4,4,1,2,0,N,99545,0,100000,50000,0
697,HAMILTON SQUARE,NJ,8619,"TD BANK, NATIONAL ASSOCIATION",DE,422490,5,1,6,5,1,1,Y,N,19655,0,20000,10000,1
698,Rockford,IL,61107,BMO HARRIS BK NATL ASSOC,IL,722110,50,1,0,50,0,1,Y,N,104638,0,50000,25000,0
699,NEWARK,OH,43055,"READYCAP LENDING, LLC",CA,621210,3,1,2,3,1,1,0,N,239000,0,239000,179250,1
700,SOMERSET,OH,43783,JPMORGAN CHASE BANK NATL ASSOC,IL,421310,14,1,0,0,1,0,N,N,325000,0,325000,276250,0
701,LEWES,DE,19958,CITIZENS BANK NATL ASSOC,RI,233210,6,1,0,6,1,2,T,N,15000,0,15000,7500,0
702,WALNUT,CA,91789,WELLS FARGO BANK NATL ASSOC,SD,0,3,1,0,0,1,0,T,N,15000,0,15000,7500,0
703,SAN FRANCISCO,CA,94114,GE CAP. SMALL BUS. FINAN CORP,TX,0,17,1,0,0,1,0,0,N,680000,0,680000,510000,0
704,SOMERSET,MA,2726,CAPITAL ONE NATL ASSOC,VA,812112,8,1,1,8,1,1,N,N,25000,0,25000,12500,0
705,ROGERS,MN,55374,CENTRAL BANK,MN,238190,40,1,0,40,1,1,Y,N,621752,0,600000,300000,0
706,VAN NUYS,CA,91406,WELLS FARGO BANK NATL ASSOC,SD,235110,4,1,16,0,1,0,0,N,297000,0,297000,222750,0
707,BURLINGTON,NC,27215,COMMUNITYONE BANK NATL ASSOC,NC,445310,4,1,0,0,1,0,Y,N,101220,0,100000,75000,0
708,SOLANA BEACH,CA,92075,MUFG UNION BANK NATL ASSOC,CA,333292,2,2,0,0,1,0,N,Y,90000,0,90000,81000,0
709,BANGOR,ME,4401,KEYBANK NATIONAL ASSOCIATION,OH,621610,55,1,0,55,1,1,0,N,89000,0,89000,44500,0
710,OKLAHOMA CITY,OK,73162,BANK OF AMERICA NATL ASSOC,NC,531210,3,1,0,3,1,1,Y,N,32000,0,20000,10000,0
711,ELLISVILLE,MO,63011,REGIONS BANK,TN,0,5,2,0,0,10528,0,N,Y,99000,0,99000,79200,0
712,BROOKFIELD,CT,6804,FAIRFIELD COUNTY BANK,CT,323119,1,1,1,1,0,1,N,N,21000,0,21000,10500,0
713,KALAHEO (HOMESTEAD),HI,96741,BBCN BANK,CA,448150,8,1,3,8,1,0,0,N,5000,0,5000,4250,1
